name,transcription
Andrik/frase1.wav,I enjoy eating avocado toast every morning
Andrik/frase2.wav ,Titanic is a classic film loved by many
Andrik/frase3.wav ,A good sense of humor lightens the mood
Andrik/frase4.wav ,Understanding emotion is key to empathy
Andrik/frase5.wav ,The human brain is a complex organ
Andrik/frase6.wav ,Wine tasting is an enjoyable experience
Andrik/frase7.wav ,Recruitment processes can be very time consuming
Andrik/frase8.wav ,The bank offers various types of loan
Andrik/frase9.wav ,Salary negotiation can be challenging but rewarding
Andrik/frase10.wav,Flight delays can be very frustrating
Andrik/frase11.wav,Avocado is a great source of healthy fat
Andrik/frase12.wav,The story of Titanic is both tragic and fascinating
Andrik/frase13.wav,Humor can help relieve stress and anxiety
Andrik/frase14.wav,She struggles to express her emotion openly
Andrik/frase15.wav,She studies the brain and its functions
Andrik/frase16.wav,She collects vintage wine bottle from around the world
Andrik/frase17.wav,She works in the recruitment department of the company
Andrik/frase18.wav,She opened a new account at the bank today
Andrik/frase19.wav,He received a salary increase after his performance review
Andrik/frase20.wav,She booked a flight to New York for vacation
Andrik/frase21.wav,She made a delicious avocado salad for lunch
Andrik/frase22.wav,Many people remember the Titanic sinking
Andrik/frase23.wav,He uses humor to connect with his audience
Andrik/frase24.wav,Emotion can influence our decisions and actions
Andrik/frase25.wav,Exercise can improve brain health significantly
Andrik/frase26.wav,Red wine is known for its health benefits
Andrik/frase27.wav,Effective recruitment is key to a successful business
Andrik/frase28.wav,Bank play a crucial role in the economy
Andrik/frase29.wav,The salary package includes various benefits and perks
Andrik/frase30.wav,The flight attendants were very helpful and kind
Andrik/frase31.wav,Avocado smoothies are both tasty and nutritious
Andrik/frase32.wav,Titanic had a dramatic impact on maritime law
Andrik/frase33.wav,Her humor is dry but very funny
Andrik/frase34.wav,They discussed the importance of managing emotion
Andrik/frase35.wav,The brain controls all bodily functions and processes
Andrik/frase36.wav,They paired the meal with a fine wine
Andrik/frase37.wav,They discussed new recruitment strategies for next year
Andrik/frase38.wav,They discussed their savings plan with the bank
Andrik/frase39.wav,They discussed the salary expectations during the interview
Andrik/frase40.wav,He missed his connecting flight due to a delay
Andrik/frase41.wav,Adding avocado to your diet is very beneficial
Andrik/frase42.wav,She read a book about the Titanic disaster
Andrik/frase43.wav,Humor is often used to cope with difficult situations
Andrik/frase44.wav,Emotion plays a crucial role in human behavior
Andrik/frase45.wav,He suffered a brain injury in the accident
Andrik/frase46.wav,Wine production varies greatly by region and climate
Andrik/frase47.wav,Recruitment agencies help match candidates with jobs
Andrik/frase48.wav,The bank provides excellent customer service
Andrik/frase49.wav,Salary transparency is important for employee trust
Andrik/frase50.wav,Flight prices vary depending on the season
Andrik/frase51.wav,He loves avocado on his sandwich and burger
Andrik/frase52.wav,The Titanic exhibition was very informative and moving
Andrik/frase53.wav,They appreciated his unique sense of humor
Andrik/frase54.wav,He often hides his true emotion from others
Andrik/frase55.wav,Brain development continues throughout early adulthood
Andrik/frase56.wav,He prefers white wine over red wine
Andrik/frase57.wav,Technology is changing the recruitment landscape rapidly
Andrik/frase58.wav,He works as a manager at the local bank
Andrik/frase59.wav,She was happy with her new job salary offer
Andrik/frase60.wav,They enjoyed the smooth flight with no turbulence
Andrik/frase61.wav,Avocado can be used in many different recipes
Andrik/frase62.wav,Titanic remains one of history's greatest shipwrecks
Andrik/frase63.wav,Humor can bridge gaps between different cultures
Andrik/frase64.wav,Writing helps her process and understand her emotion
Andrik/frase65.wav,A healthy diet supports optimal brain function
Andrik/frase66.wav,Wine festivals are popular events in many places
Andrik/frase67.wav,Recruitment fairs are great for finding talent
Andrik/frase68.wav,Bank security measures have improved significantly
Andrik/frase69.wav,The company offers competitive salary to attract talent
Andrik/frase70.wav,Flight safety is a top priority for airlines
Andrik/frase71.wav,My favorite fruit is definitely the avocado
Andrik/frase72.wav,They watched a documentary on the Titanic last night
Andrik/frase73.wav,She writes articles about humor in everyday life
Andrik/frase74.wav,Emotion can be complex and difficult to navigate
Andrik/frase75.wav,They researched the effects of music on the brain
Andrik/frase76.wav,Learning about wine can be very interesting
Andrik/frase77.wav,He has experience in recruitment and human resources
Andrik/frase78.wav,They applied for a mortgage at the bank
Andrik/frase79.wav,Salary benchmarks help ensure fair compensation
Andrik/frase80.wav,She took a flight to visit her family abroad
Andrik/frase81.wav,They served avocado as a side dish at dinner
Andrik/frase82.wav,Titanic maiden voyage ended in a tragedy
Andrik/frase83.wav,Humor is an essential part of human interaction
Andrik/frase84.wav,Learning about emotion is essential for personal growth
Andrik/frase85.wav,Brain scans can reveal a lot about mental health
Andrik/frase86.wav,They visited a local winery to sample the wine
Andrik/frase87.wav,Recruitment involves screening and interviewing candidates
Andrik/frase88.wav,Bank offer financial advice to their customers
Andrik/frase89.wav,He budgeted his expenses based on his monthly salary
Andrik/frase90.wav,The flight was canceled due to bad weather
Andrik/frase91.wav,Avocado dips are perfect for party snacks
Andrik/frase92.wav,The movie Titanic won many awards and accolades
Andrik/frase93.wav,His humor always makes everyone laugh out loud
Andrik/frase94.wav,Emotion can be expressed in many different ways
Andrik/frase95.wav,Sleep is essential for proper brain function
Andrik/frase96.wav,Wine can complement various types of food
Andrik/frase97.wav,Successful recruitment requires a keen eye for talent
Andrik/frase98.wav,She withdrew money from the bank ATM
Andrik/frase99.wav,They debated the issue of salary inequality
Andrik/frase100.wav,He prefers a window seat on the flight
